City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bluff,-46.6,168.3333,63.81,67,20,1.92,NZ,1651629522
jati,24.3539,68.2671,81.34,78,2,14.67,PK,1651629523
poum,-20.2333,164.0167,77.97,78,6,7.78,NC,1651629523
busselton,-33.65,115.3333,60.48,48,5,13.94,AU,1651629402
bethel,41.3712,-73.414,52.65,85,94,5.01,US,1651629524
calama,-22.4667,-68.9333,54.09,43,0,3.44,CL,1651629525
rikitea,-23.1203,-134.9692,77.54,79,99,16.71,PF,1651629526
maniwaki,46.3834,-75.966,48.58,100,100,0.0,CA,1651629526
ushuaia,-54.8,-68.3,38.86,81,28,12.66,AR,1651629322
new norfolk,-42.7826,147.0587,57.65,82,100,1.01,AU,1651629527
jamestown,42.097,-79.2353,61.02,88,20,10.36,US,1651629286
pacific grove,36.6177,-121.9166,69.39,74,15,5.01,US,1651629528
vao,-22.6667,167.4833,75.69,77,45,20.54,NC,1651629529
nikolskoye,59.7035,30.7861,37.29,92,100,7.09,RU,1651629530
cherskiy,68.75,161.3,34.54,97,100,11.21,RU,1651629530
barrow,71.2906,-156.7887,29.41,86,100,11.95,US,1651629320
bredasdorp,-34.5322,20.0403,58.24,98,29,2.13,ZA,1651629532
vestmanna,62.1564,-7.1664,45.52,100,100,8.05,FO,1651629532
birakan,49.0167,131.7,47.64,54,100,11.79,RU,1651629533
ambilobe,-13.2,49.05,68.49,92,26,3.6,MG,1651629534
mataura,-46.1927,168.8643,63.48,56,15,2.21,NZ,1651629534
pevek,69.7008,170.3133,26.44,79,71,4.36,RU,1651629535
saint-joseph,-21.3667,55.6167,70.18,82,24,11.72,RE,1651629535
sinnamary,5.3833,-52.95,75.74,93,100,5.79,GF,1651629419
carnarvon,-24.8667,113.6333,75.27,41,6,14.97,AU,1651629536
plavsk,53.7094,37.2919,46.8,91,100,6.91,RU,1651629537
alexandria,31.2156,29.9553,64.94,82,40,11.5,EG,1651629284
cidreira,-30.1811,-50.2056,65.07,87,100,16.82,BR,1651629538
chiclana,-35.7346,-61.7503,49.23,64,0,8.05,AR,1651629539
fortuna,40.5982,-124.1573,57.85,79,40,16.11,US,1651629540
butaritari,3.0707,172.7902,81.91,75,17,12.21,KI,1651629541
svetlogorsk,52.6333,29.7333,40.41,81,40,8.88,BY,1651629541
thompson,55.7435,-97.8558,32.16,55,20,5.75,CA,1651629542
murcia,38.0,-1.5,55.35,86,100,3.76,ES,1651629542
inuvik,68.3499,-133.7218,30.96,83,100,9.22,CA,1651629543
fort nelson,58.8053,-122.7002,56.79,44,75,9.22,CA,1651629544
atuona,-9.8,-139.0333,79.41,77,100,18.68,PF,1651629545
moussoro,13.6408,16.4901,85.5,37,99,10.63,TD,1651629545
port hedland,-20.3167,118.5667,87.85,40,0,24.16,AU,1651629546
cape town,-33.9258,18.4232,62.89,87,1,4.0,ZA,1651629503
dunmore town,25.5,-76.65,77.34,84,100,13.31,BS,1651629548
lotoshino,56.2267,35.6414,35.1,84,84,7.11,RU,1651629548
khasan,42.4308,130.6434,54.05,69,31,8.52,RU,1651629549
cabo san lucas,22.8909,-109.9124,76.6,62,37,8.01,MX,1651629490
ribeira grande,38.5167,-28.7,62.53,87,16,10.58,PT,1651629550
tasiilaq,65.6145,-37.6368,22.17,91,100,4.03,GL,1651629327
neijiang,29.5835,105.0622,72.34,50,100,2.17,CN,1651629551
formosa do rio preto,-11.0483,-45.1931,76.75,58,92,1.9,BR,1651629552
hithadhoo,-0.6,73.0833,80.87,82,100,20.11,MV,1651629552
vega de alatorre,20.0333,-96.6333,79.79,87,100,9.86,MX,1651629553
urucui,-7.2294,-44.5561,78.22,71,100,4.16,BR,1651629553
punta arenas,-53.15,-70.9167,41.11,87,100,27.63,CL,1651629404
naze,28.3667,129.4833,70.72,61,100,12.39,JP,1651629554
hasaki,35.7333,140.8333,72.28,58,0,19.39,JP,1651629555
nantucket,41.2835,-70.0995,48.31,89,100,11.16,US,1651629320
sarangani,5.4033,125.4636,83.26,72,94,6.51,PH,1651629556
torbay,47.6666,-52.7314,40.28,89,100,16.11,CA,1651629557
jutai,-5.1833,-68.9,73.89,94,99,1.63,BR,1651629557
semey,50.4111,80.2275,44.82,39,0,11.18,KZ,1651629558
upernavik,72.7868,-56.1549,-0.13,99,64,4.97,GL,1651629411
mahuva,21.0914,71.7622,81.36,77,0,7.94,IN,1651629559
east london,-33.0153,27.9116,65.75,55,100,2.35,ZA,1651629560
husavik,66.0449,-17.3389,31.19,96,100,12.19,IS,1651629560
bontang,0.1333,117.5,83.3,75,100,1.7,ID,1651629561
guadix,37.2993,-3.1392,51.12,81,100,4.16,ES,1651629562
saldanha,-33.0117,17.9442,58.93,97,1,10.36,ZA,1651629562
norman wells,65.282,-126.8329,57.24,44,75,18.41,CA,1651629563
hermanus,-34.4187,19.2345,60.8,94,3,6.62,ZA,1651629564
rezekne,56.5,27.3167,28.53,79,13,9.22,LV,1651629565
lourdes,43.1,-0.05,53.08,87,100,3.44,FR,1651629565
bengkulu,-3.8004,102.2655,80.6,77,95,2.37,ID,1651629566
kaniama,-7.5667,24.1833,64.47,90,55,4.25,CD,1651629566
bairiki,1.3292,172.9752,86.0,70,75,8.05,KI,1651629567
rio gallegos,-51.6226,-69.2181,44.65,61,0,28.77,AR,1651629423
camacupa,-12.0167,17.4833,54.23,75,14,4.83,AO,1651629568
mahudha,22.8167,72.9333,86.18,45,0,3.65,IN,1651629568
sur,22.5667,59.5289,82.87,46,0,5.06,OM,1651629569
thunder bay,48.4001,-89.3168,42.78,61,20,4.61,CA,1651629281
port alfred,-33.5906,26.891,60.19,97,12,7.49,ZA,1651629570
novoanninskiy,50.5287,42.6747,43.48,64,0,7.9,RU,1651629570
lasa,46.6166,10.7002,44.37,92,100,1.19,IT,1651629571
albany,42.6001,-73.9662,54.88,75,100,4.0,US,1651629401
la sarre,48.8002,-79.1996,36.61,97,100,7.61,CA,1651629572
hobart,-42.8794,147.3294,58.01,87,100,3.44,AU,1651629319
palu,-0.8917,119.8707,90.16,60,59,1.7,ID,1651629573
aklavik,68.2191,-135.0107,32.86,93,100,9.98,CA,1651629574
dikson,73.5069,80.5464,5.95,94,24,4.09,RU,1651629575
barcelos,41.5388,-8.6151,62.74,79,14,4.83,PT,1651629575
loandjili,-4.7561,11.8578,77.11,94,20,3.44,CG,1651629576
yellowknife,62.456,-114.3525,45.12,49,20,19.57,CA,1651629281
rio grande,-32.035,-52.0986,60.94,81,100,15.7,BR,1651629577
nanortalik,60.1432,-45.2371,31.75,91,76,7.54,GL,1651629578
chokurdakh,70.6333,147.9167,31.8,100,100,4.59,RU,1651629340
talnakh,69.4865,88.3972,20.21,94,100,7.9,RU,1651629579
guerrero negro,27.9769,-114.0611,60.55,77,100,16.62,MX,1651629580
hit,33.6416,42.8251,76.35,35,47,13.53,IQ,1651629580
iqaluit,63.7506,-68.5145,10.13,79,20,12.66,CA,1651629581
half moon bay,37.4636,-122.4286,75.79,74,0,12.66,US,1651629582
lorengau,-2.0226,147.2712,84.27,74,52,4.47,PG,1651629405
madaoua,14.073,5.96,89.82,14,79,6.87,NE,1651629583
avarua,-21.2078,-159.775,82.45,78,75,6.91,CK,1651629584
severo-kurilsk,50.6789,156.125,35.31,99,100,11.52,RU,1651629584
esperance,-33.8667,121.9,57.04,56,100,12.01,AU,1651629335
mahebourg,-20.4081,57.7,75.49,88,75,6.91,MU,1651629585
keti bandar,24.1447,67.4497,80.87,77,0,12.26,PK,1651629586
laguna,38.421,-121.4238,82.06,25,0,10.36,US,1651629586
noyabrsk,63.1994,75.4507,31.51,77,100,23.42,RU,1651629587
grand gaube,-20.0064,57.6608,75.6,86,48,5.01,MU,1651629588
bafia,4.75,11.2333,70.52,99,100,2.98,CM,1651629588
vaini,-21.2,-175.2,76.39,64,82,12.26,TO,1651629589
kodinsk,58.6881,99.1844,38.73,62,15,11.12,RU,1651629590
jingdezhen,29.2947,117.2079,76.03,50,56,2.95,CN,1651629591
la ronge,55.1001,-105.2842,32.25,86,100,10.36,CA,1651629592
muroto,33.2833,134.15,63.93,57,57,6.96,JP,1651629593
georgetown,5.4112,100.3354,85.93,87,20,5.01,MY,1651629382
mnogovershinnyy,53.9353,139.9242,35.38,79,34,4.43,RU,1651629594
khatanga,71.9667,102.5,20.3,93,100,7.45,RU,1651629594
hilo,19.7297,-155.09,76.28,100,82,3.0,US,1651629332
atambua,-9.1061,124.8925,83.93,63,20,1.99,ID,1651629595
peace river,56.2501,-117.286,59.31,41,100,23.02,CA,1651629430
gold coast,-28.0,153.4333,78.01,79,100,9.22,AU,1651629562
mopipi,-21.1833,24.8833,58.89,60,0,8.14,BW,1651629596
kodiak,57.79,-152.4072,39.54,94,100,10.29,US,1651629597
katsuura,35.1333,140.3,66.56,60,0,17.11,JP,1651629598
malaga,36.7202,-4.4203,59.74,81,75,8.05,ES,1651629598
guadalupe y calvo,26.1,-106.9667,52.5,26,45,3.51,MX,1651629599
trat,12.5,102.5,78.91,79,92,9.44,TH,1651629600
avera,33.194,-82.5271,74.37,73,14,7.4,US,1651629602
lompoc,34.6391,-120.4579,69.94,64,16,30.0,US,1651629604
saint-philippe,-21.3585,55.7679,71.19,83,47,11.61,RE,1651629604
port elizabeth,-33.918,25.5701,65.32,94,50,8.99,ZA,1651629605
puerto ayora,-0.7393,-90.3518,71.85,90,54,5.23,EC,1651629607
taree,-31.9,152.4667,77.11,52,0,3.04,AU,1651629614
buraydah,26.326,43.975,79.72,18,0,10.0,SA,1651629617
palmer,42.1584,-72.3287,53.44,79,96,1.01,US,1651629622
santa cruz,-17.8,-63.1667,62.06,72,75,6.91,BO,1651629278
lebu,-37.6167,-73.65,53.28,90,97,15.77,CL,1651629422
tuktoyaktuk,69.4541,-133.0374,24.8,93,100,10.36,CA,1651629623
mogadishu,2.0371,45.3438,79.5,85,99,13.44,SO,1651629624
kavieng,-2.5744,150.7967,84.49,72,61,5.28,PG,1651629625
longyearbyen,78.2186,15.6401,12.04,67,20,6.91,SJ,1651629625
marsa matruh,31.3525,27.2453,61.75,80,20,14.5,EG,1651629626
goderich,43.7501,-81.7165,48.9,97,100,15.37,CA,1651629627
luderitz,-26.6481,15.1594,68.04,47,0,7.38,NA,1651629627
destin,30.3935,-86.4958,75.97,87,97,4.0,US,1651629628
kruisfontein,-34.0033,24.7314,58.37,90,0,6.58,ZA,1651629629
makushino,55.2103,67.2442,47.28,52,78,6.46,RU,1651629630
hofn,64.2539,-15.2082,37.87,77,100,18.9,IS,1651629331
yerbogachen,61.2767,108.0108,31.26,87,100,13.8,RU,1651629631
fairbanks,64.8378,-147.7164,56.25,36,0,4.61,US,1651628922
lamar,33.6668,-95.5836,58.98,94,100,4.61,US,1651629632
hobyo,5.3505,48.5268,81.9,64,62,7.87,SO,1651629633
panormos,35.4182,24.6909,58.86,79,7,2.73,GR,1651629634
ilulissat,69.2167,-51.1,26.62,80,100,5.75,GL,1651629634
vredendal,-31.6683,18.5012,59.99,69,0,4.54,ZA,1651629635
coahuayana,18.7333,-103.6833,73.26,80,50,2.13,MX,1651629636
kamina,-8.7386,24.9906,61.7,89,62,3.94,CD,1651629636
arraial do cabo,-22.9661,-42.0278,75.61,85,2,19.04,BR,1651629637
podgornoye,51.735,39.1496,50.22,46,0,8.95,RU,1651629638
esmeraldas,-19.7625,-44.3139,66.97,56,39,2.33,BR,1651629640
west bay,19.3667,-81.4167,82.47,80,75,6.91,KY,1651629641
catalina foothills,32.2979,-110.9187,81.93,13,100,5.01,US,1651629641
saint george,37.1041,-113.5841,73.63,16,0,19.57,US,1651629642
vila franca do campo,37.7167,-25.4333,64.2,78,100,3.47,PT,1651629643
port macquarie,-31.4333,152.9167,76.89,63,0,8.72,AU,1651629643
bud,39.447,-86.1758,62.46,87,61,13.35,US,1651629644
padang,-0.9492,100.3543,78.85,95,100,8.05,ID,1651629645
foumban,5.7291,10.9001,63.73,96,100,4.83,CM,1651629646
olafsvik,64.8945,-23.7142,34.3,64,68,10.69,IS,1651629647
broken hill,-31.95,141.4333,65.52,56,0,12.75,AU,1651629648
arroio grande,-32.2375,-53.0869,58.78,91,99,7.09,BR,1651629648
mar del plata,-38.0023,-57.5575,50.88,78,0,11.01,AR,1651629352
qaanaaq,77.484,-69.3632,17.83,75,100,4.47,GL,1651629650
yulara,-25.2406,130.9889,69.64,37,50,14.97,AU,1651629575
asadabad,34.7824,48.1185,50.9,73,16,5.28,IR,1651629651
methoni,36.8197,21.7049,58.21,84,0,11.59,GR,1651629652
oktyabrskiy,54.4815,53.471,43.07,66,7,6.78,RU,1651629652
victoria,22.2855,114.1577,80.04,56,21,5.99,HK,1651629421
ugoofaaru,5.6667,73.0,84.65,70,100,14.32,MV,1651629653
kalmunai,7.4167,81.8167,83.16,77,58,5.46,LK,1651629655
qurayyat,31.3318,37.3428,67.66,42,26,5.84,SA,1651629655
luganville,-15.5333,167.1667,84.25,72,40,6.38,VU,1651629656
asau,46.4333,26.4,48.96,89,100,3.4,RO,1651629657
xudat,41.631,48.681,48.56,71,69,3.74,AZ,1651629657
kapaa,22.0752,-159.319,82.38,84,55,3.0,US,1651629658
port lincoln,-34.7333,135.8667,59.99,46,49,18.19,AU,1651629659
klamath falls,42.2249,-121.7817,60.85,64,100,5.39,US,1651629659
bow island,49.8668,-111.3684,62.62,38,61,8.66,CA,1651629660
porto velho,-8.7619,-63.9039,77.05,94,20,2.3,BR,1651629662
okhotsk,59.3833,143.3,33.64,77,49,5.19,RU,1651629662
jalu,29.0331,21.5482,59.99,57,2,8.59,LY,1651629663
faanui,-16.4833,-151.75,82.06,73,37,12.06,PF,1651629664
yenagoa,4.9247,6.2642,76.3,92,94,4.18,NG,1651629665
oranjemund,-28.55,16.4333,55.58,89,0,5.95,NA,1651629665
narsaq,60.9167,-46.05,35.82,81,95,3.36,GL,1651629666
benguela,-12.5763,13.4055,75.2,75,0,2.8,AO,1651629667
magadan,59.5667,150.8,38.53,75,57,5.26,RU,1651629668
marijampole,54.5667,23.35,30.18,67,2,5.08,LT,1651629669
dekar,-21.5333,21.9333,55.53,46,0,6.15,BW,1651629670
tilichiki,60.4667,166.1,31.08,94,15,5.44,RU,1651629671
oda,35.1833,132.5,65.01,56,0,10.22,JP,1651629671
anadyr,64.75,177.4833,27.1,79,0,13.42,RU,1651629672
san luis,-33.295,-66.3356,51.82,39,0,7.74,AR,1651629403
bonthe,7.5264,-12.505,80.4,82,2,5.03,SL,1651629576
seara,41.1818,-7.8003,54.93,71,6,5.68,PT,1651629673
beaufort,5.3473,115.7455,89.13,59,93,1.03,MY,1651629496
saskylakh,71.9167,114.0833,25.99,88,99,8.97,RU,1651629674
kallaste,58.655,27.1592,35.83,74,38,11.99,EE,1651629675
ughelli,5.4899,6.0074,75.74,91,100,2.91,NG,1651629676
buala,-8.145,159.5921,86.14,55,100,2.91,SB,1651629677
hamilton,39.1834,-84.5333,67.19,91,78,1.99,US,1651629484
nalut,30.3333,10.85,66.97,22,49,13.4,LY,1651629678
henties bay,-22.116,14.2845,68.92,58,0,1.7,NA,1651629679
arlit,18.7369,7.3853,84.76,11,2,9.71,NE,1651629680
stykkisholmur,65.0757,-22.7297,32.11,75,89,17.13,IS,1651629603
clyde river,70.4692,-68.5914,6.08,77,88,4.74,CA,1651629681
turbat,26.0023,63.044,86.14,26,0,4.94,PK,1651629679
bodden town,19.2833,-81.25,82.4,76,75,6.91,KY,1651629682
chuy,-33.6971,-53.4616,55.62,84,8,4.65,UY,1651629682
alenquer,-1.9417,-54.7383,74.55,96,100,2.08,BR,1651629683
nishihara,26.1842,127.7558,73.06,68,75,10.36,JP,1651629684
portland,45.5234,-122.6762,60.85,62,25,10.0,US,1651629685
lucera,41.5082,15.3351,49.3,86,55,3.15,IT,1651629536
vardo,70.3705,31.1107,27.48,71,95,23.73,NO,1651629686
gurlan,41.8447,60.3919,64.47,71,99,5.59,UZ,1651629687
rocha,-34.4833,-54.3333,50.13,88,0,1.95,UY,1651629687
prince rupert,54.3161,-130.3201,44.69,93,100,13.8,CA,1651629615
sorong,-0.8833,131.25,85.5,70,100,5.21,ID,1651629688
gravdal,68.1214,13.5031,34.29,57,92,6.76,NO,1651629689
cockburn town,21.4612,-71.1419,78.3,85,69,20.87,TC,1651629690
santa vitoria do palmar,-33.5189,-53.3681,56.46,82,23,5.26,BR,1651629690
lagoa,39.05,-27.9833,61.25,88,55,9.55,PT,1651629563
mecca,21.4267,39.8261,83.48,24,1,2.04,SA,1651629611
brigantine,39.4101,-74.3646,50.2,94,91,10.6,US,1651629692
ust-kalmanka,52.1207,83.305,46.62,35,0,16.04,RU,1651629692
darhan,49.4867,105.9228,55.29,46,100,11.95,MN,1651629693
gonbad-e qabus,37.25,55.1672,58.6,85,69,1.52,IR,1651629694
sambava,-14.2667,50.1667,74.41,87,60,10.31,MG,1651629694
sivas,39.7916,37.0019,45.93,87,72,4.81,TR,1651629695
klaksvik,62.2266,-6.589,47.32,98,100,15.26,FO,1651629696
airai,-8.9266,125.4092,74.25,57,27,3.87,TL,1651629696
kaifeng,34.7911,114.3483,83.21,27,0,12.91,CN,1651629697
ayan,56.45,138.1667,30.94,95,77,3.44,RU,1651629698
